ID	H	DBH	LN	LL	NN	NL	NW	FM	HFM	PFM	EFM	KFM	FDM	HDM	PDM	EDM	KDM	OC
1	9.5	28.9	15.5	2.68	38	69.67	2.22	51.79	13.66	18.62	15.44	2.57	35.63	9.62	10.7	13.52	1.93	NA
2	9.65	26.2	14	2.73	26.5	68.67	2.03	53.07	12.03	23.15	13.62	3.09	34.79	7.73	13.18	11.44	2.57	44.82
3	9.3	29.3	16.5	2.77	36.5	69.5	2.37	65.33	15.6	34.29	10.92	2.77	32.21	8.42	13.27	8.44	2.21	17.86
4	9.35	27.45	12	2.66	43.5	65	2.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	7.8	29.2	10.5	2.78	34	67	2.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	8.8	25.2	15	2.63	30	74.17	2.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	9.1	22.95	11.5	2.64	35	79.17	2.28	86.62	17.21	41.74	21.38	4.97	52.77	10.23	20.33	18.28	4.06	44.32
8	7	23	15.5	2.3	32.5	59.33	2.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	11	27.3	16	2.61	37	67	2.64	78.24	14.58	41.55	16.32	4.43	47.35	8.8	21.07	13.72	3.63	21.84
10	9.77	27.2	13.44	2.57	32.76	64.66	2.45	78.67	15.34	38.19	17.34	5.93	38.19	6.95	12.89	13.6	4.88	26.19
11	9.4	28.95	18.5	2.98	37	69.5	2.56	58.43	10.81	24.58	12.8	3	34.44	7.48	13.24	11.4	2.45	40.12
12	9.7	23.75	17	2.65	36	52.86	2.18	71.9	15.71	35.57	15.42	4.14	39.25	8.39	14.99	12.58	3.41	35.59
13	8	27.15	13.5	2.77	40	70.34	2.47	71.65	15.91	33.32	13.85	3.27	37.25	9.47	13.06	12.11	2.63	25.62
14	8.45	33.55	16	3.47	39	81.84	2.15	53.94	12.95	25.86	14.36	2.53	32.5	7.81	10.72	12.07	2.03	33.26
15	9.3	25.7	15.5	2.7	35	65.17	2.48	85.79	15.55	46.17	17.03	4.88	45.82	8.68	19.86	14.34	3.52	35.72
16	9.37	21.7	17.44	2.81	31.76	70	2.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	NA	28.2	14.5	3.02	36	70.17	2.2	98.61	20.06	52.17	19.32	5.07	55.25	10.12	25.4	15.6	4.26	42.22
18	8.15	29.5	19.5	2.69	32.5	75.17	2.06	86.48	14.91	48.84	15.34	4.23	51.29	8.7	25.64	13.33	3.63	47.58
19	7.15	25.5	19	2.6	31.5	60	2.22	87.4	15.7	49.02	16.37	4.63	59.82	11.17	28.72	15.88	3.93	37.08
20	9.65	27.75	24	2.48	35.5	60.34	2.56	114.94	26.74	59.68	19.45	4.4	59.51	15.3	24.62	16.2	3.38	35.9
21	9.65	30.6	17.5	2.65	32	77	2.68	72.66	17.9	34.48	12.76	3.07	43	10.83	18.45	11.18	2.54	37.29
22	7.55	29.45	24.5	2.99	33	80.17	1.94	64.31	13.45	35.14	10.54	2.83	34.98	7.98	15.62	9.03	2.22	17.51
23	7.9	30.15	17	2.95	36	69.5	2.55	60.17	12.73	32.17	11.18	3.74	37.33	7.5	18.07	9.23	2.54	49.08
24	8.27	30.2	27.44	2.92	34.76	75.33	2.79	107.21	18.59	66.26	15.87	3.91	65.78	12.3	36.3	13.63	3.41	36.11
25	8.7	26.45	10.5	2.41	37	60.84	2.2	64.99	15.84	29.85	13.54	3.5	36.61	9.16	13.72	11.46	2.71	33.93
26	7.2	27.55	23	2.8	35.5	75.67	2.7	81.89	21.1	37.39	15.07	3.03	48.96	13.03	20.46	13.03	2.57	34.36
27	5	28.7	22.5	2.75	42.5	70.34	2.37	82.37	18.66	46.01	12.61	2.81	42.04	10.89	18.98	10.32	1.86	33.48
28	9.05	23.75	16	2.9	34.5	75.67	2.63	57.14	12.78	28.29	11.66	2.68	33.65	7.47	14.28	9.9	2.13	27.96
29	7	29.75	22	2.79	32.5	68.5	2.94	70.9	16.35	36.03	14.63	3.06	45	10.03	20.24	12.37	2.5	33.96
30	8.05	27.65	19	2.64	32.5	70	2.73	NA	14.3	NA	13.55	3.83	NA	8.54	NA	11.31	2.94	36.16
31	8.45	23.45	16	2.63	34.5	64.17	2.23	64.64	12.35	34.64	13.04	2.58	40.1	7.63	19.37	11.22	2.2	28.66
32	6.35	22.4	22	2.65	37.5	55.84	2.28	93.55	16.24	56.45	14.57	4.44	49.29	9.21	24.66	12.01	3.41	22.66
33	7.6	23.2	17.5	2.05	28	76.67	2.33	42.25	8.99	21.54	9.45	2.07	25.79	5.11	10.89	8.18	1.75	22.02
34	8.35	29.55	18	2.42	34	69.67	2.03	66.24	16.64	27.68	16.38	5.1	42.91	10.03	15.09	13.49	4.43	40.89
35	5.95	28.95	19.5	2.03	33.5	65.17	2.02	54.38	11.38	27.14	11.37	2.67	31.86	6.14	13.83	9.61	2.28	41.34
36	6.85	25.2	24.5	2.58	32.5	61.16	2.34	56.91	11.83	26.3	13.65	3.55	31.55	6.19	11.41	11.35	2.73	31.59
37	8.1	28.6	26	2.38	33.5	62.17	2.55	76.91	14.74	44.2	14.07	2.32	45.6	8.01	23.54	12.01	2.03	31.77
38	5.55	29.55	22.5	2.34	41	58.5	2.2	73.87	13.75	42.28	12.03	3.33	39.64	7.41	20.82	8.7	2.71	52.55
39	8.35	30.5	22.5	2.39	38.5	60.17	2.37	79.45	16.02	42.73	15.82	3.22	46.62	8.75	22.15	13.23	2.49	33.22
40	7.45	28.65	20	2.55	36	57.75	2.03	78.84	16.21	40.16	15.75	3.87	NA	NA	22.24	13.55	NA	34.18
41	4.8	34.7	24	2.58	41	63.84	2.22	83.27	17.5	40.95	16.39	5.26	54.22	11.53	23.86	14.5	4.46	31.72
42	9	32.95	26	2.82	35	77	2.85	116.98	25.99	54.54	26.34	6.24	74.57	14.72	32.17	22.6	5.07	42.65
43	6.95	34.1	30.5	3.08	27	67.83	2.38	82.21	17.95	42.78	13.21	3.92	51.78	12.11	24.49	11.91	3.4	61.19
44	11.25	29.15	21.5	2.55	41.5	58	2.13	68.25	13.78	34.04	14.72	4.24	42.18	8.08	18.35	12.26	3.63	57.42
45	4.9	29.2	25	2.47	36.5	61.67	2.53	50.65	12.59	21.79	12.4	2.63	31.46	7.3	12.02	10.08	2.2	53.86
46	7.75	31.65	20	2.78	35.5	77.33	2.28	78.03	16.38	42.26	14.3	3.64	48.35	10.73	23.62	11.07	3.06	38.76
47	11.2	22.75	27.5	2.01	39	53.84	1.95	85.21	17.28	46.44	12.61	4.31	51.02	10.77	25.21	11.55	3.63	40.49
48	5.85	25.15	18	2.44	40	60.17	1.9	60.01	10.26	26.7	14.89	4.68	36.57	6.93	13.17	12.91	3.69	42.99
49	9.9	22.55	21	2.6	39	57.83	2.42	103.51	22.08	57.04	17.03	5.16	67.4	14.69	33.73	14.85	4.27	36.96
50	8.05	30.75	30	2.74	41	63	2.37	99	39.23	51.98	19.08	4.4	52.72	9.97	22.75	16.57	3.55	39.39
51	6.75	32.55	30	2.67	33	73.5	2.26	85.28	17.47	47.91	13.92	4.08	45.52	9.58	20.81	11.83	3.28	40.67
52	8.3	31.85	24.5	3.03	34	68.84	2.12	52.98	10.79	25.67	11.45	2.82	31.88	6.4	12.99	10.04	2.44	50.08
53	10.25	25.3	25	2.91	36	69.84	2.18	62.59	12.73	28.76	15.14	4.3	39.23	8.18	14.62	13.04	3.39	33.42
54	12.55	29	24	2.7	31	68.17	2.73	119.23	23.7	65.11	19.48	4.52	65.59	13.43	31.45	16.87	3.85	38.92
55	7.4	31.35	29	2.04	37.5	59	2.3	63.39	14.77	31.43	12.32	3.14	41.56	9.9	18.2	10.8	2.66	50.52
56	5.05	28.7	29	2.34	40	62.34	2.31	73.65	16.49	37.84	15.65	2.77	42.16	9.29	17.86	12.86	2.28	22.99
57	NA	35.6	30	2.7	31.5	73.67	2.46	94.64	19.61	51.74	17.29	4.5	53.36	11.01	26.58	14.39	3.69	37.33
58	9.8	33.95	30	2.93	35.5	69	2.75	69.62	13	35.77	14.48	5.05	41.96	7.93	19.16	11.86	3	32.12
59	6.25	23.5	20	2.32	38.5	56.16	1.71	56.51	12.59	24.97	15.41	3.83	32.99	6.77	10.64	12.44	3.27	32.26
60	8.95	29.2	23.5	2.33	32.5	60.17	2.53	86.4	18.35	48.46	14.74	3.12	45.5	9.52	21.55	12.09	2.47	31.12
61	5.95	29.15	23	2.62	34	64.83	1.83	66.42	14.66	30.12	16.06	4.03	41.34	8.83	15.01	13.96	3.55	30.48
62	6.65	24.15	22	2.59	33	74.17	2.66	83.52	20.23	42.67	13.6	4.71	47.17	11.34	20.69	11.35	3.8	36.38
63	4.8	26.9	24	2.4	33.5	70.17	2.19	78.11	20.54	42.45	12.49	2.71	47.82	12.27	23.28	10.25	2.15	32.86
64	9.85	29.3	29	3.01	32	74.34	2.57	81.49	20.44	44.49	14.41	3.81	53.01	13.13	24.25	12.44	3.2	47.35
65	5.7	26.05	22	2.79	35.5	67.5	1.87	63.53	13.83	30.77	12.46	4.45	33.72	7.71	13.53	9.31	3.3	32.45
66	9.45	27.5	28.5	2.83	38	74.34	3.07	84.24	21.36	40.63	17.17	4.09	52.96	12.5	22.04	14.88	3.53	48.57
67	4.7	34.45	20.5	2.37	42.5	63.84	2.11	79.85	16.14	44.62	13.26	3.73	39.85	8.16	17.58	10.97	3.12	31.97
68	8.6	27.15	24.5	2.76	33.5	77.33	2.22	102.89	NA	61.3	17.36	4.04	64.87	12.78	35.5	13.84	2.75	37.63
69	8.6	26.6	24.5	2.46	32.5	68.67	2.48	82.54	18.26	42.77	14.45	3.68	43.65	9.37	18.52	12.52	3.24	38.02
70	8.7	29.2	27.5	2.76	38	66.83	2.97	73.31	16.99	36.62	13.44	3.91	40.61	8.79	17.33	11.04	3.46	36.86
