Plant	Long	Lat	Local	Ano	Altura	DAP	N_folhas	Compri_folha	N_pinas	Compri_pina	Largura_pina	F_T	F_Casca	F_Polpa	F_Endo	F_Sem	S_T	S_Casca	S_Polpa	S_Endo	S_Sem	U_T	U_Casca	U_Polpa	U_Endo	U_Sem	OC
1	7548156	775409	1	1	10.1	27.5	17	2.68	40	65.67	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	7548157	775430	1	1	9.2	24.7	15	2.92	28	67.67	2.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	7548175	775405	1	1	9.3	28	21	2.8	37	66	2.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	7548181	775413	1	1	8.7	26.2	15	2.75	43	67	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	7548188	775413	1	1	7.3	29.7	11	2.77	36	69	2.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	7548188	775414	1	1	9.1	23.6	23	2.71	29	80.67	2.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	7548191	775417	1	1	8.7	19.5	12	2.72	33	84.33	2.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	7548191	775398	1	1	7.2	17.7	17	2.4	36	65.33	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	7548191	775398	1	1	9.8	24	17	2.68	37	72.33	3.1	80.59	15.44	44.17	16.07	4.45	48.13	9.05	22.18	13.29	3.61	32.46	6.38	21.99	2.78	0.84	22.23
10	7548189	775391	1	1	9.5	27.5	11	2.61	33	68.33	2.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11	7548188	775387	1	1	9.1	28	15	2.96	40	75	3.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	7548192	775390	1	1	9.1	23	16	2.89	34	67	2.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	7548197	775393	1	1	7.7	26	14	2.85	43	73	2.67	71.41	16.9	36.33	13.32	3.16	37.5	9.31	14.69	11.1	2.41	33.91	7.59	21.64	2.23	0.75	NA
14	7548198	775390	1	1	8.8	32.4	17	3.8	38	90.67	2.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	7548203	775388	1	1	9	24.3	17	2.73	34	64	2.8	101.82	19.48	56.69	17.75	5.38	50.95	10.1	23.51	15.02	3.49	50.87	9.38	33.18	2.73	1.89	32.27
16	7548207	775397	1	1	9.1	22	15	2.85	32	73.67	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	7548213	775412	1	1	9.5	25.5	17	3.15	37	76.33	2.87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	7548218	775407	1	1	8	28.1	18	2.68	32	76.33	2.53	96.25	16.1	57.79	15.86	4.9	56.88	9.57	29.76	13.3	4.26	39.37	6.53	28.03	2.56	0.64	46.57
19	7548223	775403	1	1	6.9	23.3	18	2.67	33	62	2.17	89.75	16.56	51.64	16.12	4.65	60.6	11.42	29.83	15.45	3.91	29.15	5.15	21.82	0.67	0.74	37.47
20	7548224	775394	1	1	9.5	28.1	21	2.66	31	68	2.5	114.47	27.5	62.6	19.31	4.4	56.34	13.69	24.13	15.44	3.07	58.13	13.8	38.47	3.87	1.33	36.9
21	7548260	775405	1	1	9.3	30.3	24	2.72	34	85.67	2.93	72.86	19.5	36.33	12.69	3.07	42.85	11.04	18.61	10.69	2.51	30.01	8.46	17.72	1.99	0.56	36.3
22	7548225	775412	1	1	6.5	28.3	25	2.87	31	81.67	1.73	66.66	14.31	37.76	10.29	2.85	35.76	8.23	16.73	8.6	2.2	30.9	6.08	21.03	1.69	0.65	17.9
23	7548274	775423	1	1	7.6	30.4	21	2.77	32	71.67	2.77	59.7	14.49	32.39	11.85	4.38	35.57	7.22	16.93	9.03	2.39	24.12	7.27	15.46	2.82	1.99	49.73
24	7548285	775430	1	1	8	30.5	25	2.96	35	79	2.97	109.56	19.45	68.88	15.62	3.93	66.56	12.55	37.41	13.2	3.39	43	6.89	31.46	2.41	0.54	36.5
25	7548264	775438	1	1	7.9	24.2	12	2.47	39	60.67	2.37	59.67	16.05	26.85	11.95	2.92	33	9.02	12.46	10.1	2.3	26.67	7.03	14.38	1.85	0.62	38.83
26	7548273	775469	1	1	6.9	26.4	16	2.75	33	74	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	7548293	775451	1	1	4.4	26.8	21	2.82	44	73	2.53	84.51	19.02	48.48	13.23	3.35	41.62	9.98	19.45	10.13	2.07	42.89	9.04	29.04	3.11	1.28	32.6
28	7548280	775421	1	1	8.3	22.3	15	2.96	31	74	3.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	7548284	775440	1	1	6.8	28.3	19	2.73	35	71	3.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	7548306	775505	1	1	6.7	23.5	10	2.43	35	61.67	3.03	53.31	11.08	26.18	11.6	3.69	29.69	6.24	11.52	9.32	2.61	23.61	4.84	14.66	2.28	1.08	NA
31	7548329	775509	1	1	7.5	21.4	12	2.92	38	75.33	2.67	74.33	13.41	44.58	13.6	2.22	45.63	7.77	25.04	11.58	1.86	28.7	5.64	19.54	2.02	0.36	29.9
32	7548333	775492	1	1	5.6	21.2	32	2.64	31	59.67	2.37	88.19	17.89	51.95	13.22	3.92	43.66	9.54	20.72	10.58	2.82	44.53	8.35	31.23	2.65	1.1	24.4
33	7548311	775467	1	1	6.5	23.2	19	2.09	29	83	2.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	7548308	775461	1	1	8.1	29.2	17	2.47	36	71.67	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	7548320	775450	1	1	5.7	28	20	2.13	31	72.33	2.33	53.86	11.89	27.43	10.39	2.54	31.14	6.54	13.68	8.76	2.16	22.72	5.36	13.74	1.64	0.38	45.9
36	7548315	775451	1	1	6.5	24	21	2.6	37	63	2.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	7548305	775444	1	1	7.2	28.2	19	2.41	33	65.67	3	77.23	15.8	43.49	13.77	2.46	46.7	8.37	24.61	11.61	2.11	30.52	7.43	18.87	2.16	0.35	29.97
38	7548300	775447	1	1	5.2	28.2	21	2.33	36	62.67	2.27	77.66	13.84	46.18	11.9	3.84	42.26	7.09	22.26	9.78	3.13	35.4	6.76	23.92	2.12	0.7	51.6
39	7548302	775459	1	1	8.1	30.1	20	2.39	39	62.67	2.67	81.52	16.96	44.61	15.87	3.3	47.19	8.82	23.25	12.84	2.29	34.33	8.14	21.36	3.04	1.01	33.2
40	7548296	775459	1	1	7.5	28	17	2.6	36	69	2.13	97.18	21.37	50.67	17.94	5.12	61.45	13.44	28.43	15.22	4.36	35.74	7.93	22.24	2.73	0.76	31.33
41	7548298	775415	1	1	4.5	32.5	18	2.72	38	69	2.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	7548306	775403	1	1	8.5	32.5	21	2.94	34	77.67	3.27	122.67	30.67	58.25	25.2	6.31	77.49	16.2	34.77	21.53	4.98	45.18	14.47	23.47	3.67	1.32	44.2
43	7548360	775369	1	1	7.2	33.2	21	3.37	32	74.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	7548325	775375	1	1	10.9	28.7	13	2.65	39	63.67	2.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	7548325	775374	1	1	5.1	27.2	18	2.56	36	67	2.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
46	7548324	775373	1	1	7.6	30.5	20	2.87	36	82.67	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	7548324	775363	1	1	11.5	22.9	20	2.12	37	63.67	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	7548327	775367	1	1	5.5	26.8	16	2.48	42	67.67	2.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	7548322	775360	1	1	10.4	21.5	14	2.73	37	62.33	2.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	7548330	775348	1	1	7.6	30.6	28	2.75	46	67.67	2.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	7548343	775355	1	1	6.9	31.3	22	2.64	35	79.67	2.5	77.5	17.78	42.41	12.87	3.6	41.8	8.84	19.67	10.47	2.81	35.7	8.93	22.74	2.39	0.79	47.83
52	7548346	775340	1	1	8.4	32.8	17	3.12	37	74.67	2.43	57.8	12.3	28.61	12.26	2.95	34.46	6.91	14.39	10.53	2.62	23.34	5.39	14.21	1.73	0.33	48.93
53	7548343	775333	1	1	10.3	24.8	20	2.84	35	82.67	2.47	63.95	13.33	29.96	15.46	4.27	39.72	8.03	15.53	12.82	3.34	24.24	5.31	14.44	2.64	0.93	NA
54	7548340	775339	1	1	12.1	28.1	18	2.76	31	65.67	3.27	125.13	24.83	75.6	18.69	4.44	68.29	13.15	36	15.46	3.69	56.84	11.68	39.61	3.23	0.75	40.43
55	7548332	775340	1	1	7	31.2	31	2.15	36	71	2.67	62.48	15.93	31.41	12.46	2.89	40.46	10.14	17.58	10.34	2.39	22.03	5.79	13.83	2.12	0.5	NA
56	7548340	775327	1	1	4.9	26.8	27	2.29	41	65	2.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	7548334	775322	1	1	13	34.3	24	2.73	31	79.33	2.8	99.28	19.1	57.7	16.87	4.52	54.57	11.11	30.61	13.87	3.6	44.71	7.99	27.08	3	0.92	42.43
58	7548351	775303	1	1	9.5	31	24	3.05	34	76.67	2.93	60.16	12.01	30.95	13.41	5.62	32.78	5.99	14.94	9.66	2.18	27.38	6.02	16.01	3.75	3.43	NA
59	7548368	775308	1	1	6.4	23.4	17	2.5	39	61.33	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	7548357	775293	1	1	8.2	27.5	25	2.37	33	66	2.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	7548351	775283	1	1	5.7	29	22	2.57	34	68.33	2.17	75.81	17.17	36.04	17.71	4.58	47.55	9.97	18.19	15.24	4.15	28.26	7.2	17.85	2.48	0.43	29.6
62	7548291	775319	1	1	6.4	23.1	19	2.59	32	80	3	74.95	17.36	39.26	12.09	5.14	43.27	9.98	18.78	10.26	4.25	31.68	7.38	20.49	1.83	0.9	36.03
63	7548282	775329	1	1	4.5	26.1	24	2.36	35	74	2.57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	7548268	775339	1	1	9.5	28	23	3.09	34	83	2.97	83.09	22.05	48.25	14.56	3.83	53.35	13.48	24.35	12.26	3.26	29.74	8.56	23.9	2.29	0.58	48.43
65	7548266	775347	1	1	5.3	25	20	2.84	33	77.67	2.47	72.25	14.87	37.45	13.13	4.88	NA	NA	NA	NA	NA	72.25	14.87	37.45	13.13	4.88	32
66	7548260	775349	1	1	9.6	26	25	2.9	37	80	3.47	93.96	24	48.03	16.97	3.64	60.68	15.13	27.46	14.84	3.26	33.28	8.87	20.57	2.14	0.38	45.37
67	7548255	775339	1	1	4.6	31	19	2.46	41	71.67	2.4	91.21	18.99	52.52	13.11	4.02	45.32	9.34	21.43	11.08	3.46	45.89	9.65	31.09	2.03	0.55	31.8
68	7548251	775344	1	1	8.5	25	21	3.11	33	81.33	2.47	101.66	15.23	66.54	15.67	3.29	65.35	10.62	38.78	13.05	2.91	36.3	4.61	27.76	2.62	0.38	38.1
69	7548281	775363	1	1	8	25.5	19	2.5	34	71.33	2.77	84.44	19.24	46.34	13.83	3.76	43.49	9.73	18.64	11.71	3.41	40.94	9.51	27.7	2.12	0.35	37.67
70	7548286	775368	1	1	8.7	28.5	30	2.88	37	72.33	3.27	74.75	15.58	39.76	12.94	4.07	41.48	8.41	18.63	10.79	3.66	33.27	7.17	21.13	2.15	0.41	NA
71	7548295	775377	1	1	8.7	29	18	2.96	44	66.67	2.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	7548284	775379	1	1	8.7	28.5	18	3	31	81.33	2.67	77.67	20.01	39.23	13.74	3.03	42.28	11.27	17.02	11.42	2.57	35.39	8.74	22.21	2.32	0.46	20.2
73	7548281	775380	1	1	9.4	27	20	2.4	37	77.33	2.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	7548277	775370	1	1	7.5	24	22	2.37	39	60.33	2.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
75	7548274	775365	1	1	8.1	31	20	2.99	32	79	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
